response,comments,environment,education,wealth,occupation,income,class,regard.respect.reputation,ethnicity,friends,privilege,power,finances,family,mobility,possessions,position.vs.others,standard.of.living,good.person,importance,appearance,prestige,lifestyle,connections,success,wellbeing,social.conduct,affluence,authority,socioeconomic,hierarchy,economic,residence,influence,compassion,intelligence
"I think that status in society mean the socio/economic status that people have. This has to do with their education, wealth and environment.",,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"The phrases touch on aspects of economic, educational, and occupational class or status. For instance, a highly educated heart surgeon likely receives high pay and would be considered to be of high status or upper class. A poorly educated, low skill, poorly paid laborer would be considered lower status or lower/working class.",,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"How I would define status in society is largely subjective -- in some situations, it might be class in other situations, it might refer to education. It's all subjective. Basically, a person's perceived position in a situation is dependent on many variables and does not have one static definition.",,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"They mean how highly regarded someone is in their community. How much money they have, how many nice things that they have.",,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I think how they are respected in society. I was homeless about three years ago. I am living in assistive housing now. Because I got to know many town members and worked on projects with them. They got to know me and respect me. As a result, my status in society is higher than someone else in my situation​.",,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Financial position, social class, reputation in society based on prejudiced assumptions of others",,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Status in society would refer to the ethnic backgrounds/skin color. A person's status in society could be referring to a political position that they hold, a celebrity, hero, etc. Status markers may refer to their overall fitness compared to others, financial wealth, number of friends, etc.",,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Status in society refers to how the rest of the world views you. I think of the phrase 'mob mentality'. Ones status in society is, importantly, not defined by you, but by what others think of you.",,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"how much money a person makes, how much privilege this person has, how much status they have compared to others.",,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I would define it as how much power and wealth you have.,,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"When I read these terms, my first thought is of financial status, which leads to behavior. I do feel that a person's financial status does greatly influence a person's behavior, and how they feel about themselves, leading to what image they wish to present to others. So I feel it's a financial status which leads to behavior and image.",,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Status is about two things mostly, power and money. They tend to go together, but you can have one without the other. Money buys influence and people will treat you more respectfully. Some jobs, like high ranking law enforcement/politicians, have power but maybe not a lot of money. Finally, you may have status because of something you did, like save a life, a lot of charity work (mother Theresa) without having power or money but that is not as a common way to have status.",,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I believe it means where they are on the social scale or earnings scale.,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Status makers are people who influence and impact others. They are effective at arousing others to action.,"Misread the statements; refers to ""status makers"" when the text says ""status markers""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
