ltss1r,ltss2r,ltss3r,ltss4,ltss5,ltss6,lti1r,lti2r,lti3,lti4,lti5r,lti6,diff.imposs1,diff.imposs2,diff.imposs3,diff.imposs4,gpa,cond,gender,grade,age
6,2,2,7,6,7,6,6,6,6,5,6,2,3,2,2,3.714285714,stem,male,1,15
5,6,6,6,6,6,7,6,6,6,6,5,6,6,6,6,3.428571429,ctrl,female,3,17
3,3,2,6,5,5,3,5,5,5,3,6,5,5,3,5,2.428571429,ctrl,F,2,15
6,2,1,7,7,7,5,6,7,7,2,7,2,2,2,2,2.571428571,ctrl,female,1,15
4,5,1,7,6,3,5,6,2,3,5,4,7,2,6,7,1.857142857,gen.ed,male,1,15
6,6,6,5,5,5,6,6,2,2,6,2,2,2,2,2,2.571428571,gen.ed,female,2,151/2
5,4,2,7,7,5,6,6,5,5,5,6,5,5,5,5,0.8571428571,gen.ed,male,2,17
1,6,2,7,6,7,4,6,7,7,1,7,6,3,5,3,2.571428571,gen.ed,male,1,15
2,3,4,5,6,6,5,5,5,5,5,5,2,2,6,4,2.714285714,stem,male,3,18
2,6,2,6,6,6,2,2,2,2,2,2,5,6,3,2,3,gen.ed,male,3,18
2,6,6,6,6,6,6,5,6,6,6,6,5,5,6,6,2.428571429,stem,male,3,18
6,3,3,5,3,5,6,6,5,6,6,6,2,6,2,2,2.714285714,ltss,male ,3,18
4,6,7,6,6,6,NA,6,6,7,6,6,4,6,4,6,2.333333333,ltss,male,1,15
2,2,3,6,7,6,2,2,6,6,3,6,2,5,3,2,2.142857143,gen.ed,female,1,15
4,5,7,6,6,6,3,4,5,6,7,1,3,4,6,7,1.857142857,ctrl,female ,3,17
4,2,3,6,6,5,2,2,7,6,6,6,3,3,4,4,1.714285714,gen.ed,female,2,16
5,4,6,5,5,6,6,6,6,6,6,6,3,5,6,6,2.142857143,ltss,female,3,17
4,4,4,4,4,4,3,3,5,5,3,2,5,2,NA,NA,2,ltss,male,3,16
4,5,2,6,5,6,2,7,4,6,3,3,4,5,4,3,3.428571429,ctrl,female,3,17
5,5,5,5,5,6,5,5,6,6,6,6,2,5,5,5,2.714285714,ltss,female,3,17
1,1,5,7,7,7,1,1,7,7,1,7,1,1,NA,1,3.142857143,gen.ed,famale,2,17
2,2,2,2,6,6,NA,NA,NA,NA,NA,NA,2,2,2,NA,1.857142857,stem,Male,2,
5,5,5,6,5,6,6,6,6,6,6,6,7,6,6,6,1,gen.ed,Female ,2,16
5,5,6,6,6,5,5,6,5,6,5,6,6,5,6,6,2.714285714,stem,female,2,17
4,6,1,7,7,7,4,4,4,4,4,4,4,4,4,4,4,ltss,female,2,17
1,1,1,7,7,7,1,1,7,7,1,7,1,1,1,1,2.571428571,ctrl,female,3,17
3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,1.142857143,ltss,male,3,18
3,3,3,5,3,5,3,2,5,4,4,4,4,3,2,2,4,ltss,Female,3,17
1,2,3,7,5,6,5,5,7,5,6,7,6,4,7,5,2.714285714,ltss,female,3,16
2,1,1,6,7,7,3,2,6,7,2,7,5,7,5,7,1.571428571,ltss,female,3,16
1,1,1,7,7,7,4,4,4,4,4,4,4,4,4,4,2,ctrl,male,3,17
6,6,6,6,6,6,6,6,6,6,6,6,5,5,6,6,2,gen.ed,mother,2,17
5,4,5,6,6,2,3,6,1,6,4,5,7,2,3,3,1.857142857,ltss,F,3,17
2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,0.8571428571,gen.ed,female,2,16
5,5,5,5,5,5,4,4,4,4,4,4,4,3,3,6,3,stem,men,2,17
3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2.428571429,stem,female,3,17
2,2,2,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.428571429,ctrl,Male,2,17
5,3,2,5,4,6,2,1,5,5,2,7,6,3,2,2,3.285714286,stem,female,2,16
2,2,2,6,7,7,4,4,4,4,4,4,2,2,2,2,2.571428571,stem,male,2,17
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.7142857143,ltss,male,3,17
5,5,5,6,6,6,5,5,7,7,7,7,1,6,1,1,1.714285714,gen.ed,female,3,17
5,5,6,6,6,6,5,5,4,4,5,5,4,4,4,4,2.142857143,ltss,male,3,17
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2.571428571,stem,male,3,17
5,6,5,7,7,5,1,3,6,7,5,6,6,6,6,6,3.571428571,stem,male,3,17
7,2,6,5,3,4,4,3,4,6,4,6,5,3,3,3,2.142857143,gen.ed,female,3,18
