school.x,year,entity1,entity2,entity3,entity4,increment1,increment2,increment3,increment4,ltss1,ltss2r,ltss3,dircheck1,ltss4r,lti1r,dircheck2,lti2,lti3r,ladder,income,gender,anagramwords,correctwords,totalwords,collegetype
thomas nelson community college,2,NA,NA,NA,NA,4,4,4,4,4,5,4,5,5,5,4,5,5,6,1,1,"car, Carl, crack, leg, rack, ",4,6,community
Florida A & M University,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,public
Ogeeche Tech,1,1,1,1,3,NA,NA,NA,NA,4,1,4,NA,5,1,NA,7,1,9,1,2,"care, keg, rake, large, cake, lake, crage, lace, gal, lag, leg, are, grace, rage, age, ",14,16,community
Burlington County College,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,community
santa fe community college,3,NA,NA,NA,NA,4,5,5,2,5,7,5,NA,2,4,2,5,3,8,2,1,"keg, car, ace, are, cel, reg, lar, gel, ear, age",10,10,community
Temple University,3,2,2,2,2,NA,NA,NA,NA,6,2,6,NA,2,2,NA,6,2,6,4,1,"Car, Keg, ",2,3,public
Mid-Plains Community College,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,community
Arizona State University,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,public
Chicago State University,4,4,2,5,4,NA,NA,NA,NA,5,6,4,NA,5,5,NA,2,7,6,4,1,"leg, rake, leak, cake, keg, ale, race, lace, lake, rag, are, ",11,12,public
Brandeis University,4,1,1,1,1,NA,NA,NA,NA,6,2,6,NA,2,2,NA,5,4,6,8,2,"car, care, real, crag, are, lark, arc, kale, gale, gel, ear, ace, race, lace, gear, rake, lake, cake, lea, rack, lack",21,21,private
Georgia Institute of Technology,4,NA,NA,NA,NA,6,5,6,6,6,2,7,NA,2,2,NA,5,3,7,1,2,"car, lake, gear, clear, leg, keg, cake, rag, lag, rake, care, real, are, rack, lack, large",16,16,public
University of South Alabama,1,4,4,4,3,NA,NA,NA,NA,3,5,3,NA,5,5,NA,3,5,9,1,2,"cake, grace, rake, lake, creak, leak, real, rage, lack, race, gear, cage, care, ",13,14,public
University of Alabama Birmingham,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,public
Johnson & Wales University,2,NA,NA,NA,NA,5,3,4,4,5,3,6,NA,3,2,NA,6,2,6,5,2,"lack, car, gear, care, gel, lake, leak, kale, gale, lace, cake, cal, rack, arc, race, gar, rage, cage, crag, ",18,20,private
Albright College,4,2,2,1,2,NA,NA,NA,NA,7,2,6,NA,2,3,NA,5,7,7,1,1,"Lake, Clare, Rage, Rag, Lag, Large, Care, Rae, Keg, Gear, Ear, Are, Gar, ",11,14,private
University of Phoenix,4,4,4,4,4,NA,NA,NA,NA,NA,5,5,NA,4,2,NA,5,5,7,1,2,"Grackle, Crag, Elk, Calk, Lack, Rack, Leg, Gel, creak, ",9,10,public
Emory University,4,3,3,3,3,NA,NA,NA,NA,3,5,5,NA,3,3,NA,5,2,8,1,2,"kale, ear, lear, gear, cage, gale, race, gar, car, leak, crag, ace, lace, lake, large, rake, cake, grace, rag, are, age, ale, rae, erk, ",22,25,private
University of Florida,3,NA,NA,NA,NA,3,5,5,5,6,2,5,NA,2,3,NA,6,2,6,2,2,"Car, Keg, Leg, Rag, Lag, Are, Kale, Rake, Cake, Lake, Care, Ear, ",12,13,public
California Baptist University,3,1,1,1,1,NA,NA,NA,NA,6,2,6,NA,2,2,NA,6,2,4,5,1,"RACE, LACE, CAR, GRACE, LAKE, CAKE",6,6,private
Berkshire Community College,2,NA,NA,NA,NA,3,3,4,2,3,4,3,NA,5,3,NA,4,3,8,1,2,"creak, clear, car, care, rake, cake, gear, real, keg, rage, rag, rack, arc, ark, agr, ace, ale, leak, Lear, lake, ",19,21,community
Northern Kentucky University,3,3,4,2,2,NA,NA,NA,NA,4,2,3,NA,4,2,NA,2,6,6,3,2,"Car, care, cake, creak, leak, real, rage, cage, age, are, ack, rack, lack, lake, grace, race, lace, ace, ale, ",18,20,public
Ashworth,1,3,3,3,3,NA,NA,NA,NA,4,4,4,NA,4,4,NA,4,4,6,1,2,"leak, lag, lack, rack, rake, lake, lace, race, case, large, lark, car, gear, age, rage, ace",15,16,private
None. ,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,
university of south carolina,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,public
Binghamton University,3,NA,NA,NA,NA,4,4,5,4,5,2,5,NA,2,3,NA,5,3,7,5,1,"creak, leak, crag, lake, race, rake, gal, kale, gale, lace, lag, car, care, real, regal, ale, reg, keg, leg, gel, rag, ",21,22,public
Everest ,2,5,2,2,5,NA,NA,NA,NA,6,2,4,NA,4,4,NA,5,4,3,4,2,"Keg, lake, rake, rag, arc, car, ear, ",7,8,private
