MedianIncome_BlockGroup,gpa,Fixed,Check.1a,Check.1b,Growth,Check.2a,Check.2b,Control,persist1,persist2,persist3,persist4,persist5,persist6,Age,Gender,Race_1,Race_2,Race_3,Race_4,Race_5,Race_6,Race_7,LadderUS
NA,NA,NA,NA,NA,1,1,2,NA,6,2,5,5,4,4,14,2,1,NA,1,NA,NA,NA,1,4
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112,642",4.2882,NA,NA,NA,1,1,2,NA,3,1,1,2,1,2,14,2,NA,NA,NA,NA,NA,NA,1,7
"95,481",4.4813,1,1,2,NA,NA,NA,NA,1,1,1,1,1,1,14,1,NA,NA,NA,NA,NA,NA,1,7
"89,327",4.1625,NA,NA,NA,1,1,2,NA,2,2,2,3,2,2,14,1,NA,NA,1,NA,1,NA,1,10
"65,658",4.2933,1,1,2,NA,NA,NA,NA,3,5,5,4,3,3,14,2,NA,NA,NA,NA,NA,NA,1,10
"18,864",2.6412,NA,NA,NA,NA,NA,NA,1,5,3,3,3,2,2,14,1,NA,NA,NA,NA,1,NA,NA,7
"65,658",4.0769,NA,NA,NA,1,1,2,NA,5,3,2,3,1,3,14,1,1,NA,NA,NA,NA,NA,1,9
"64,609",2.7467,NA,NA,NA,NA,NA,NA,1,5,6,2,1,4,6,14,1,NA,NA,NA,NA,NA,NA,1,7
"194,444",3.6933,NA,NA,NA,1,1,2,NA,5,5,5,4,5,5,14,1,NA,NA,NA,NA,NA,NA,1,7
"15,208",3.1231,NA,NA,NA,1,1,2,NA,6,1,1,1,1,1,14,1,NA,NA,NA,NA,NA,NA,1,4
"88,813",4.2,NA,NA,NA,NA,NA,NA,1,2,3,2,4,3,4,14,2,NA,NA,1,1,NA,NA,1,5
"97,784",4.0667,NA,NA,NA,1,1,2,NA,2,1,2,2,3,2,14,1,NA,1,NA,NA,NA,1,NA,5
"87,813",4.3467,NA,NA,NA,1,1,2,NA,2,2,3,3,3,4,14,3,NA,NA,NA,NA,NA,NA,1,8
"107,917",4.1538,1,1,2,NA,NA,NA,NA,1,1,1,1,1,1,14,2,1,NA,NA,NA,NA,NA,1,8
"49,750",3.8733,NA,NA,NA,1,1,2,NA,1,1,2,2,4,4,14,2,NA,NA,NA,NA,NA,NA,1,8
"106,991",4.35,NA,NA,NA,NA,NA,NA,1,2,1,2,1,1,2,14,2,NA,1,NA,NA,NA,NA,NA,7
"93,813",2.7375,NA,NA,NA,NA,NA,NA,1,4,2,3,4,3,4,14,2,NA,NA,NA,NA,NA,NA,1,5
"129,659",3.5308,1,1,2,NA,NA,NA,NA,3,5,3,5,7,7,14,2,NA,1,NA,NA,NA,NA,1,6
"74,604",3.5063,NA,NA,NA,NA,NA,NA,1,2,3,2,4,3,3,14,1,NA,NA,NA,NA,NA,NA,1,3
"83,083",4.5385,NA,NA,NA,NA,NA,NA,1,5,3,2,3,3,2,14,2,NA,NA,NA,NA,NA,NA,1,7
"83,084",4.38,NA,NA,NA,NA,NA,NA,1,2,1,1,2,2,1,14,2,NA,NA,NA,NA,NA,NA,1,7
"49,564",4.0933,1,1,2,NA,NA,NA,NA,3,2,2,2,2,2,14,1,NA,1,NA,NA,NA,NA,NA,6
"83,083",3.5,1,1,2,NA,NA,NA,NA,5,3,5,4,5,3,14,1,NA,NA,NA,NA,NA,NA,1,7
"67,287",4,NA,NA,NA,NA,NA,NA,1,6,4,5,5,7,6,14,1,NA,NA,NA,NA,NA,NA,1,7
"106,991",3.5643,1,1,2,NA,NA,NA,NA,6,1,2,5,2,2,14,2,NA,NA,NA,NA,NA,NA,1,4
"15,208",4.0615,NA,NA,NA,1,1,2,NA,2,2,2,2,2,2,14,2,NA,NA,NA,NA,NA,NA,1,8
"112,642",2.82,NA,NA,NA,1,1,2,NA,1,2,2,2,2,2,14,1,NA,1,NA,NA,NA,NA,1,5
"77,880",3.64,1,1,2,NA,NA,NA,NA,4,4,4,4,4,4,14,2,NA,NA,1,NA,NA,NA,1,7
"132,361",4.3071,NA,NA,NA,1,1,2,NA,4,2,2,2,2,3,14,2,NA,NA,NA,NA,NA,NA,1,4
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131,103",4.1467,1,1,2,NA,NA,NA,NA,6,2,3,2,2,2,14,1,NA,NA,NA,NA,NA,NA,1,7
"53,854",3.7133,NA,NA,NA,1,1,2,NA,4,5,4,4,3,3,14,1,NA,NA,1,NA,NA,NA,NA,6
"60,313",2.7867,NA,NA,NA,1,1,2,NA,2,5,5,4,5,2,14,2,NA,NA,1,NA,NA,NA,NA,8
"82,895",4.3143,NA,NA,NA,1,1,2,NA,2,1,1,1,1,1,15,1,NA,NA,NA,NA,NA,NA,1,6
NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89,327",3.3071,NA,NA,NA,NA,NA,NA,1,2,2,5,5,4,4,14,1,NA,1,NA,NA,NA,NA,NA,4
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65,511",3.2368,1,1,2,NA,NA,NA,NA,6,5,5,4,6,5,15,2,NA,NA,NA,NA,NA,NA,1,5
