In.Age,In.SexElig,In.Race.1,In.Race.2,In.Race.3,In.Race.4,In.Race.6,In.Race.6.TEXT,In.Year,In.MHIncome,In.FHIncome,In.MIncome,In.FIncome,W5.SubSES2,ltss1r,ltss2,ltss3r,ltss4,ltss5,ltss6,ltss7r,ltss8r,lti1r,lti2,lti3r,pwe1,pwe2,pwe3r,pwe4r,gpa
20,2,NA,NA,1,NA,NA,      ,2,NA,NA,5000,130000,2,4,4,4,4,4,4,4,4,1,6,1,4,4,4,4,4
19,1,NA,1,NA,NA,NA,      ,1,NA,NA,20000,500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,4,NA,NA,NA,NA,NA
20,1,1,NA,1,NA,NA,      ,2,90000,450000,NA,NA,2,3,4,4,3,4,4,4,5,2,5,5,7,7,3,4,2.425
20,1,NA,NA,1,NA,NA,      ,2,200000,80000,NA,NA,2,2,5,2,6,2,4,2,3,3,4,5,5,6,5,5,3
19,1,NA,NA,1,NA,NA,      ,2,NA,NA,3000,135000,4,4,4,4,4,4,4,4,4,3,5,2,4,4,4,4,3.075
19,2,NA,NA,1,NA,NA,      ,2,NA,NA,10000,70000,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,4,NA,NA,NA,NA,NA
20,2,NA,NA,1,NA,NA,      ,2,NA,NA,0,300000,3,3,5,3,5,2,2,5,5,2,5,2,2,2,6,6,3.67
20,2,NA,1,NA,NA,NA,      ,3,NA,NA,0,150000,4,3,5,5,5,5,3,3,3,2,4,5,4,4,4,4,3.075
20,2,NA,NA,1,NA,NA,      ,3,NA,NA,30000,65000,4,4,4,4,4,4,4,4,4,3,3,4,4,4,5,5,3.88
19,2,NA,1,NA,NA,NA,      ,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,5,NA,NA,NA,NA,NA
21,2,NA,NA,1,NA,NA,      ,3,0,200000,NA,NA,2,2,3,1,6,3,4,3,2,4,3,6,6,5,6,5,3.925
19,1,NA,NA,1,NA,NA,      ,2,NA,NA,20000,150000,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,3,NA,NA,NA,NA,2.623
21,2,NA,1,NA,NA,NA,      ,3,NA,NA,55000,100000,2,5,5,5,5,6,6,5,6,5,3,5,6,7,5,6,NA
20,1,NA,1,1,NA,NA,      ,2,NA,NA,165000,165000,1,2,6,2,6,6,3,2,2,3,5,3,6,6,4,4,3.521
19,1,NA,NA,1,NA,NA,      ,1,120000,200000,NA,NA,5,3,4,3,4,4,4,3,3,3,4,3,4,4,5,5,4
19,2,NA,NA,1,NA,NA,      ,1,NA,NA,40000,180000,5,4,4,4,4,3,3,4,3,4,3,3,3,3,3,3,3.5
20,2,NA,NA,1,NA,NA,      ,2,NA,NA,50000,250000,2,1,5,1,4,4,3,4,4,4,4,4,1,1,7,7,3.938
19,2,NA,1,NA,NA,NA,      ,2,20000,NA,NA,NA,7,5,4,5,5,3,4,4,4,3,4,3,3,3,5,5,3.85
19,2,NA,NA,1,NA,NA,      ,1,NA,NA,16000,1000,10,2,4,5,4,3,3,2,1,2,4,2,7,7,6,5,3.6
21,1,NA,NA,NA,1,NA,      ,3,NA,NA,30000,10000,8,5,2,3,6,3,3,3,4,4,4,6,1,1,7,7,NA
21,1,NA,NA,1,NA,NA,      ,3,NA,NA,10000,100000,3,3,5,2,4,5,3,2,2,4,2,5,5,5,5,4,1.333
20,1,NA,NA,1,NA,NA,      ,2,NA,NA,100000,200000,3,3,3,3,5,3,5,5,3,3,3,3,3,5,6,5,2.925
19,1,NA,1,NA,NA,NA,      ,2,NA,NA,30000,90000,4,2,5,3,3,5,5,3,6,4,2,4,5,5,6,6,3.723
19,1,NA,NA,1,NA,NA,      ,2,NA,NA,0,200000,2,2,2,2,6,5,5,2,2,3,4,5,2,2,6,6,3.15
